phrase,intensity,polarity,able_signals,geo_sa,neg_high_hits,neg_med_hits
executive burnout recovery,1.5,constructive_pain,2,False,0,1
burnout recovery when rest doesn't help,1.5,constructive_pain,1,False,0,1
how to recover from burnout that sleep doesn't fix,1.5,constructive_pain,2,False,0,1
why am I still exhausted after sleeping,3.0,distress,0,False,1,0
mental exhaustion that won't go away,4.5,distress,0,False,1,1
can't switch off from work at night,0.0,neutral_info,0,False,0,0
dread Monday morning every week,1.5,distress,0,False,0,1
work stress recovery South Africa,1.5,constructive_pain,1,True,0,1
burnout vs normal tiredness,3.0,distress,0,False,0,2
chronic work exhaustion self help,1.5,constructive_pain,1,False,0,1
why weekends don't restore me,0.0,neutral_info,0,False,0,0
leave days don't fix my burnout,1.5,distress,0,False,0,1
burned out but still functioning at work,0.0,neutral_info,0,False,0,0
high functioning burnout symptoms,1.5,distress,0,False,0,1
executive mental fatigue,1.5,constructive_pain,1,False,0,1
can't recover from work stress,1.5,constructive_pain,1,False,0,1
persistent mental exhaustion,1.5,distress,0,False,0,1
why do I feel drained after a full night sleep,3.0,distress,0,False,1,0
burnout recovery for high performers,1.5,constructive_pain,2,False,0,1
how to get energy back after burnout,1.5,constructive_pain,1,False,0,1
I've been exhausted for months and weekends don't fix it,3.0,distress,0,False,1,0
I look fine at work but inside I'm completely drained,3.0,distress,0,False,1,0
I can't stop thinking about work even on holiday,3.0,constructive_pain,1,False,1,0
I'm successful on paper and completely empty of energy,3.0,distress,0,False,1,0
sleep doesn't restore me anymore what is wrong,0.0,neutral_info,0,False,0,0
I dread every Monday and can't explain why,1.5,distress,0,False,0,1
I take leave and still feel burned out when I return,0.0,neutral_info,0,False,0,0
my body is tired but my mind won't switch off,1.5,distress,0,False,0,1
I function at work but collapse at home,3.0,distress,0,False,1,0
why am I exhausted when my life looks fine,3.0,distress,0,False,1,0
I need to recover from burnout without quitting my job,1.5,constructive_pain,1,False,0,1
how do able people recover from deep work exhaustion,1.5,constructive_pain,2,False,0,1
I'm burned out but I still have to show up,0.0,neutral_info,0,False,0,0
rest doesn't work for my kind of exhaustion,1.5,distress,0,False,0,1
I feel like my battery never recharges,0.0,neutral_info,0,False,0,0
executive burnout Johannesburg,1.5,constructive_pain,1,True,0,1
burnout recovery Cape Town professionals,1.5,constructive_pain,1,True,0,1
work exhaustion Durban,1.5,distress,0,True,0,1
mental fatigue Sandton executives,1.5,constructive_pain,1,True,0,1
burnout recovery Gauteng,1.5,constructive_pain,1,True,0,1
